ID, COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, PARENT_ID
"12910","12910","100","113014","12888"
"12911","12911","100","113015","12888"
"12912","12912","100","113016","12888"
"12913","12913","100","113017","12888"
"12914","12914","100","113018","12888"
"12915","12915","100","113019","12888"
"12916","12916","100","113020","12888"
"12917","12917","100","113021","12888"
"12918","12919","101","113023",null
"12919","12918","100","113022","12918"
"12920","12920","100","113024","12918"
"12921","12921","100","113025","12918"
"12922","12922","100","113026","12918"
"12923","12924","101","113028",null
"12924","12923","100","113027","12923"
"12925","12925","100","113029","12923"
"12926","12926","100","113030","12923"
"12927","12927","100","113031","12923"
"12928","12928","100","113032","12923"
"12929","12929","100","113033","12923"
"12930","12930","100","113034","12923"
"12931","12931","100","113035","12923"
"12932","12932","100","113036","12923"
"12933","12933","100","113037","12923"
"12934","12934","100","113038","12923"
"12935","12935","100","113039","12923"
"12936","12936","100","113040","12923"
"12937","12937","100","113041","12923"
"12938","12938","100","113042","12923"
"12939","12939","100","113043","12923"
"12940","12940","100","113044","12923"
"12941","12941","100","113045","12923"
"12942","12942","100","113046","12923"
"12943","12943","100","113047","12923"
"12944","12944","100","113048","12923"
"12945","12945","100","113049","12923"
"12946","12946","100","113050","12923"
"12947","12947","100","113051","12923"
"12948","12948","100","113052","12923"
"12949","12949","100","113053","12923"
"12950","12950","100","113054","12923"
"12951","12951","100","113055","12923"
"12952","12952","100","113056","12923"
"12953","12953","100","113057","12923"
"12954","12955","101","113059",null
"12955","12954","100","113058","12954"
"12956","12956","100","113060","12954"
"12957","12957","100","113061","12954"
"12958","12958","100","113062","12954"
"12959","12959","100","113063","12954"
"12960","12960","100","113064","12954"
"12961","12961","100","113065","12954"
"12962","12962","100","113066","12954"
"12963","12963","100","113067","12954"
"12964","12964","100","113068","12954"
"12965","12965","100","113069","12954"
"12966","12966","100","113070","12954"
"12967","12967","100","113071","12954"
"12968","12968","100","113072","12954"
